hold	lock	stop	trail	months	wins	trades	total	avg	field_avg	lift	pos_years	n_years
18720	5	8.5	4	51	26	317	-66.65	-0.2103	-0.2582	0.0479	2	5
18720	5	8.5	5	53	31	390	51.28	0.1315	-0.1902	0.3216	3	5
18720	5	8.5	6	54	30	416	29.09	0.0699	-0.1884	0.2583	3	5
18720	5	8.5	7	54	31	416	27.88	0.0670	-0.1821	0.2491	3	5
18720	5	8.5	8	53	31	409	55.01	0.1345	-0.1756	0.3101	3	5
18720	5	9	3	52	31	327	12.17	0.0372	-0.4845	0.5217	3	5
18720	5	9	4	52	28	317	5.97	0.0188	-0.2444	0.2633	3	5
18720	5	9	5	53	29	405	115.05	0.2841	-0.2691	0.5532	4	5
18720	5	9	6	53	27	394	76.19	0.1934	-0.2505	0.4439	4	5
18720	5	9	7	53	27	394	73.38	0.1863	-0.2543	0.4405	4	5
18720	5	9	8	53	28	394	87.73	0.2227	-0.2483	0.4710	4	5
18720	5	9.5	3	54	31	397	-4.35	-0.0110	-0.4235	0.4126	4	5
18720	5	9.5	4	53	29	337	39.50	0.1172	-0.3231	0.4403	4	5
18720	5	9.5	5	53	30	402	228.77	0.5691	-0.2356	0.8047	5	5
18720	5	9.5	6	53	28	391	141.01	0.3606	-0.2274	0.5880	5	5
18720	5	9.5	7	53	27	389	89.12	0.2291	-0.2560	0.4851	5	5
18720	5	9.5	8	53	28	384	148.53	0.3868	-0.2318	0.6186	5	5
18720	5	10	3	52	31	410	-50.02	-0.1220	-0.3981	0.2761	4	5
18720	5	10	4	53	29	368	85.59	0.2326	-0.3235	0.5561	4	5
18720	5	10	5	51	30	385	203.31	0.5281	-0.1899	0.7180	5	5
18720	5	10	6	52	27	387	109.49	0.2829	-0.2211	0.5040	5	5
18720	5	10	7	51	27	387	96.02	0.2481	-0.2733	0.5214	5	5
18720	5	10	8	51	27	384	140.59	0.3661	-0.2552	0.6213	5	5
18720	6	8	3	51	24	363	-1.99	-0.0055	-0.3867	0.3813	4	5
18720	6	8	4	50	26	370	50.72	0.1371	-0.2956	0.4327	5	5
18720	6	8	5	53	33	408	70.69	0.1733	-0.1726	0.3458	3	5
18720	6	8	6	53	30	405	12.06	0.0298	-0.2165	0.2463	3	5
18720	6	8	7	53	29	396	-43.90	-0.1108	-0.1870	0.0761	3	5
18720	6	8	8	53	30	380	-58.39	-0.1537	-0.1970	0.0433	3	5
18720	6	8.5	3	52	27	345	-70.48	-0.2043	-0.4565	0.2522	3	5
18720	6	8.5	4	52	31	380	37.33	0.0982	-0.2227	0.3209	4	5
18720	6	8.5	5	49	28	385	63.68	0.1654	-0.2256	0.3910	4	5
18720	6	8.5	6	50	30	387	110.54	0.2856	-0.1941	0.4797	4	5
18720	6	8.5	7	51	29	385	49.96	0.1298	-0.2353	0.3651	4	5
18720	6	8.5	8	51	28	368	45.86	0.1246	-0.2152	0.3398	4	5
18720	6	9	3	52	29	382	-126.55	-0.3313	-0.4637	0.1324	3	5
18720	6	9	4	52	32	359	82.29	0.2292	-0.1497	0.3789	4	5
18720	6	9	5	51	28	396	163.93	0.4140	-0.1687	0.5826	5	5
18720	6	9	6	50	27	404	170.48	0.4220	-0.1477	0.5697	5	5
18720	6	9	7	50	26	386	109.79	0.2844	-0.1475	0.4319	3	5
18720	6	9	8	50	26	380	96.65	0.2543	-0.1266	0.3809	3	5
18720	6	9.5	3	53	27	392	-132.87	-0.3390	-0.4408	0.1018	4	5
18720	6	9.5	4	53	31	369	87.99	0.2384	-0.2057	0.4441	4	5
18720	6	9.5	5	53	29	379	183.16	0.4833	-0.1899	0.6732	5	5
18720	6	9.5	6	52	30	416	264.50	0.6358	-0.2095	0.8453	4	5
18720	6	9.5	7	52	27	404	251.94	0.6236	-0.2121	0.8357	4	5
18720	6	9.5	8	52	27	400	248.29	0.6207	-0.2157	0.8365	4	5
18720	6	10	3	51	25	400	-153.42	-0.3836	-0.4086	0.0250	3	5
18720	6	10	4	53	30	366	102.14	0.2791	-0.1487	0.4278	4	5
18720	6	10	5	54	29	392	204.69	0.5222	-0.1153	0.6375	5	5
18720	6	10	6	52	30	401	201.17	0.5017	-0.1752	0.6768	4	5
18720	6	10	7	52	27	389	118.49	0.3046	-0.1357	0.4403	4	5
18720	6	10	8	52	27	387	132.19	0.3416	-0.1509	0.4925	4	5
