hold	lock	stop	trail	months	wins	trades	total	avg	field_avg	lift	pos_years	n_years
17280	6	8.5	6	50	31	387	62.25	0.1609	0.0040	0.1568	3	5
17280	6	8.5	7	50	32	410	21.97	0.0536	0.0001	0.0535	3	5
17280	6	8.5	8	50	31	398	16.61	0.0417	0.0086	0.0332	3	5
17280	6	9	3	51	30	428	48.84	0.1141	-0.2391	0.3532	4	5
17280	6	9	4	52	33	391	215.80	0.5519	0.0356	0.5163	5	5
17280	6	9	5	51	33	448	222.09	0.4957	-0.1332	0.6289	4	5
17280	6	9	6	50	30	402	267.19	0.6646	0.0392	0.6255	4	5
17280	6	9	7	52	32	409	203.32	0.4971	0.0065	0.4906	4	5
17280	6	9	8	52	30	407	176.26	0.4331	0.0158	0.4173	4	5
17280	6	9.5	3	51	30	399	146.15	0.3663	-0.1569	0.5231	4	5
17280	6	9.5	4	53	33	388	235.50	0.6070	0.0431	0.5639	5	5
17280	6	9.5	5	51	32	409	311.66	0.7620	-0.0370	0.7990	5	5
17280	6	9.5	6	52	33	361	251.58	0.6969	-0.0184	0.7153	4	5
17280	6	9.5	7	52	34	359	212.01	0.5905	-0.0544	0.6450	4	5
17280	6	9.5	8	51	32	351	184.23	0.5249	-0.0286	0.5535	4	5
17280	6	10	3	51	30	395	71.10	0.1800	-0.1177	0.2977	4	5
17280	6	10	4	53	31	395	185.63	0.4700	0.0309	0.4391	4	5
17280	6	10	5	51	30	391	205.26	0.5250	-0.0069	0.5318	4	5
17280	6	10	6	51	32	355	259.38	0.7306	0.0453	0.6853	5	5
17280	6	10	7	51	33	370	255.26	0.6899	0.0633	0.6266	5	5
17280	6	10	8	51	32	344	189.30	0.5503	0.0830	0.4673	5	5
17280	7	8	3	51	27	391	-41.14	-0.1052	-0.2760	0.1708	3	5
17280	7	8	4	52	32	393	162.45	0.4134	-0.0219	0.4353	4	5
17280	7	8	5	52	32	455	227.14	0.4992	0.0816	0.4176	4	5
17280	7	8	6	51	24	370	86.78	0.2345	0.1820	0.0526	4	5
17280	7	8	7	54	23	412	18.83	0.0457	0.1722	-0.1265	2	5
17280	7	8	8	54	25	413	15.28	0.0370	0.1519	-0.1149	3	5
17280	7	8.5	3	50	26	400	-67.21	-0.1680	-0.2797	0.1116	4	5
17280	7	8.5	4	48	28	339	183.65	0.5417	0.1448	0.3969	4	5
17280	7	8.5	5	51	29	439	160.82	0.3663	0.0418	0.3245	4	5
17280	7	8.5	6	48	23	350	-40.03	-0.1144	0.1217	-0.2361	2	5
