  BTCUSDT: 5045, 18 с
  DOGEUSDT: 6281, 30 с
  ETHUSDT: 8490, 41 с
  MATICUSDT: 8589, 44 с
  NEARUSDT: 8670, 50 с
  PENGUUSDT: 8701, 52 с
  POLUSDT: 8722, 53 с
  PUMPUSDT: 8730, 54 с
  SOLUSDT: 9933, 64 с
  TRXUSDT: 10054, 70 с
  ZECUSDT: 10167, 75 с

идей 10,167; авторов с >= 20: 74; p_dir 200 розыгрышей, p_time 100

autor	n	months	pnl	p_dir	p_time	lift	t_bh	early%	back14	fwd14	years
RidgerR	46	2	-3.374	0.318	0.683	+2.493	+1.61	37	-0.40	-1.41	2024:-2.4(34);2025:-6.2(12)
Rowland-Australia	40	16	-0.149	0.488	0.822	+0.185	+0.15	25	+4.68	-0.15	2025:+0.2(31);2026:-1.0(8)
SignalProvider	62	10	-0.260	0.557	0.713	+1.635	+0.90	18	+0.97	-2.32	2025:-1.1(25);2026:+0.3(37)
Solldy	387	11	-1.463	0.965	0.267	-3.841	-4.11	88	-0.35	-0.99	2023:-1.5(387)
Sporia	121	38	-1.602	0.701	0.475	-0.141	-0.17	78	-2.17	-0.34	2021:-2.4(40);2022:-3.9(51);2023:+5.5(18);2025:-1.5(8)
Swoop6	184	41	-0.131	0.423	0.257	+1.159	+0.73	76	-5.01	+1.35	2021:-1.0(57);2022:-2.1(49);2023:+2.8(10);2024:+2.0(40);2025:+2.1(22);2026:-3.1(6)
The-Thief	61	14	-0.446	0.274	0.832	+0.995	+0.80	51	+2.70	-0.38	2025:-0.5(56)
TheCryptagon	107	26	+1.636	0.104	0.465	+1.333	+1.91	41	+2.63	-0.51	2023:+5.9(27);2024:+6.9(21);2025:-3.3(39);2026:+2.8(16)
TheTraderPhil	181	39	+0.473	0.020	0.752	+0.899	+2.04	55	+0.37	-0.25	2023:+1.9(67);2024:+1.9(30);2025:-2.0(62);2026:+1.1(22)
ThinkFastTrades	170	51	-1.620	0.891	1.000	+0.252	+0.24	61	+1.30	-0.98	2021:-7.1(24);2022:-0.9(58);2023:-0.0(22);2024:-0.6(26);2025:-0.4(33);2026:-3.2(7)
Trade_Hive_Signals	73	16	-1.395	0.806	0.832	-1.260	-1.09	36	+1.12	-2.40	2023:+1.8(13);2024:+1.7(9);2025:-2.9(48)
TraderEngineering	46	8	+2.602	0.169	0.089	-3.679	-1.68	83	-0.20	+2.23	2023:+0.7(28);2024:+6.6(16)
TradingShot	164	19	+0.210	0.677	0.772	+2.616	+1.99	21	+2.52	-1.62	2025:-1.3(59);2026:+1.1(105)
Tradu	114	9	+0.722	0.164	0.495	+1.242	+0.70	39	+3.00	-1.14	2025:+0.7(114)
VasilyTrader	26	11	-3.255	0.806	0.802	-0.060	-0.08	8	+0.77	-1.81	2025:-4.0(15);2026:-2.3(11)
XAUxBTC_Pro	59	7	-0.138	0.458	0.139	+0.640	+0.34	32	+1.72	-0.89	2025:+1.4(11);2026:-0.5(48)
XTrendSpeed	107	36	-1.547	0.871	0.931	-0.698	-0.42	41	+2.53	-2.25	2022:-1.1(17);2024:-2.1(30);2025:-0.4(37);2026:-2.0(20)
alejandroscotti	78	7	-3.533	0.970	0.950	+5.517	+2.88	28	-0.51	-3.30	2025:+3.1(20);2026:-5.8(58)
brokerchampionofficial	20	2	-0.486	0.607	-	-6.130	-2.21	40	+12.96	+2.38	2026:-0.5(20)
bryandowningqln	243	26	+2.627	0.652	0.921	-1.716	-2.38	66	+6.41	+0.97	2023:+3.3(125);2024:+3.0(78);2025:-0.2(40)
coinpediamarkets	189	24	+2.850	0.378	0.644	-0.221	-0.60	76	+3.33	+0.27	2023:+4.6(72);2024:+7.9(38);2025:-0.1(10);2026:-1.1(68)
davidjulien369	302	24	+0.942	0.050	0.129	+1.130	+1.53	60	+0.80	+1.46	2024:+0.3(120);2025:+1.0(145);2026:+3.0(37)
drcrypto14	74	14	+2.271	0.005	0.119	+1.983	+1.39	85	-1.26	+0.58	2022:+3.5(36);2023:+0.2(34)
elalemiami	76	23	-0.948	0.741	0.881	-0.990	-0.73	30	+4.41	+0.32	2021:+4.2(7);2022:-0.7(6);2024:-3.4(37);2025:-0.1(23)
isahebdadi	34	10	-1.557	0.642	0.584	+1.301	+0.62	35	+2.64	-0.76	2025:-5.9(18);2026:+3.4(16)
jhonnybrah	237	57	+0.262	1.000	0.941	+0.000	+0.00	80	+5.21	-0.98	2021:-2.7(36);2022:-7.2(27);2023:+6.8(64);2024:+2.9(61);2025:-7.9(39);2026:+5.0(10)
melikatrader94	325	44	+1.932	0.020	0.327	-0.217	-0.28	51	+3.40	-0.23	2023:+1.1(81);2024:+2.2(92);2025:+1.9(115);2026:+3.5(36)
mindfullylost	21	8	+0.218	0.264	0.554	+2.581	+1.84	48	+0.43	+0.84	2025:-0.3(16);2026:+1.9(5)
moesalama	32	14	+2.099	0.075	0.446	+2.175	+0.73	41	+2.08	+0.90	2022:+10.1(5);2025:-0.4(13);2026:+5.0(8)
mrsignalll	345	42	+2.207	0.015	0.010	-0.976	-1.46	59	-0.00	+0.64	2022:+2.5(13);2023:+1.1(115);2024:+3.4(102);2025:+2.1(97);2026:+2.8(18)
mukit1	38	24	-0.560	0.587	0.564	+0.067	+0.02	79	-0.76	-5.20	2021:+2.8(14);2024:+4.9(12);2025:-14.7(7)
salahuddin20041	178	23	-5.359	1.000	0.960	-6.709	-2.72	47	-2.18	-2.27	2024:-5.1(13);2025:-6.6(86);2026:-3.5(72)
thetradinglord28	70	15	-2.056	0.960	1.000	-1.388	-1.00	29	+4.08	-2.60	2025:-2.0(58);2026:-2.2(12)
tomas_jntx	93	10	+3.589	0.005	0.168	+2.173	+1.75	54	+3.71	+2.98	2025:+3.7(88);2026:+0.8(5)

готово за 230 с
